"work_name","proc_name","RowGuid","id","itemid","process_id","process_name","process_priority","proc_theme_id","approval_info","approval_type","approval_type_text","approval_state","approval_user","approval_time","proc_task_id","task_node_name","review_time","qxyj","serial_number","SyncDate","isAct"
重庆坤飞建设（集团）有限公司_企业资质升级_20191010,重庆坤飞建设（集团）有限公司_专业承包城市及道路照明工程三级资质升级_20210610,"55cc9100-893c-423e-a65e-3716ba45b245","568069","1004204520","1004211213",综合资料审查/业绩资料,"2","1004204521",,,,"4002","10105434",,"5736760",usertask4,,,,"2021-06-24","1"
重庆坤飞建设（集团）有限公司_企业资质升级_20191010,重庆坤飞建设（集团）有限公司_专业承包城市及道路照明工程三级资质升级_20210610,"55cc9100-893c-423e-a65e-3716ba45b245","568069","1004204520","1004211213",综合资料审查/业绩资料,"2","1004204521",,,,"4002","10105434",,"5736760",usertask4,,,,"2021-06-24","1"
重庆坤飞建设（集团）有限公司_企业资质升级_20191010,重庆坤飞建设（集团）有限公司_专业承包城市及道路照明工程三级资质升级_20210610,"55cc9100-893c-423e-a65e-3716ba45b245","568069","1004204520","1004211213",综合资料审查/业绩资料,"2","1004204521",,,,"4002","10105434",,"5736760",usertask4,,,,"2021-06-24","1"
重庆坤飞建设（集团）有限公司_企业资质升级_20191010,重庆坤飞建设（集团）有限公司_专业承包城市及道路照明工程三级资质升级_20210610,"55cc9100-893c-423e-a65e-3716ba45b245","568069","1004204520","1004211213",综合资料审查/业绩资料,"2","1004204521",,,,"4002","10105434",,"5736760",usertask4,,,,"2021-06-24","1"
重庆坤飞建设（集团）有限公司_企业资质升级_20191010,重庆坤飞建设（集团）有限公司_专业承包城市及道路照明工程三级资质升级_20210610,"55cc9100-893c-423e-a65e-3716ba45b245","568069","1004204520","1004211213",综合资料审查/业绩资料,"2","1004204521",,,,"4002","10105434",,"5736760",usertask4,,,,"2021-06-24","1"
重庆坤飞建设（集团）有限公司_企业资质升级_20191010,重庆坤飞建设（集团）有限公司_专业承包城市及道路照明工程三级资质升级_20210610,"55cc9100-893c-423e-a65e-3716ba45b245","568069","1004204520","1004211213",综合资料审查/业绩资料,"2","1004204521",,,,"4002","10105434",,"5736760",usertask4,,,,"2021-06-24","1"
重庆坤飞建设（集团）有限公司_企业资质升级_20191010,重庆坤飞建设（集团）有限公司_专业承包城市及道路照明工程三级资质升级_20210610,"9559d60d-06c2-47b3-8451-177d479550a0","568070","1004204520","1004211214",人员资料审查,"2","1004204521",,,,"4002","10105565",,"5736763",usertask5,,,,"2021-06-24","1"
重庆坤飞建设（集团）有限公司_企业资质升级_20191010,重庆坤飞建设（集团）有限公司_专业承包城市及道路照明工程三级资质升级_20210610,"9559d60d-06c2-47b3-8451-177d479550a0","568070","1004204520","1004211214",人员资料审查,"2","1004204521",,,,"4002","10105565",,"5736763",usertask5,,,,"2021-06-24","1"
重庆坤飞建设（集团）有限公司_企业资质升级_20191010,重庆坤飞建设（集团）有限公司_专业承包城市及道路照明工程三级资质升级_20210610,"9559d60d-06c2-47b3-8451-177d479550a0","568070","1004204520","1004211214",人员资料审查,"2","1004204521",,,,"4002","10105565",,"5736763",usertask5,,,,"2021-06-24","1"
重庆坤飞建设（集团）有限公司_企业资质升级_20191010,重庆坤飞建设（集团）有限公司_专业承包城市及道路照明工程三级资质升级_20210610,"9559d60d-06c2-47b3-8451-177d479550a0","568070","1004204520","1004211214",人员资料审查,"2","1004204521",,,,"4002","10105565",,"5736763",usertask5,,,,"2021-06-24","1"
重庆坤飞建设（集团）有限公司_企业资质升级_20191010,重庆坤飞建设（集团）有限公司_专业承包城市及道路照明工程三级资质升级_20210610,"9559d60d-06c2-47b3-8451-177d479550a0","568070","1004204520","1004211214",人员资料审查,"2","1004204521",,,,"4002","10105565",,"5736763",usertask5,,,,"2021-06-24","1"
重庆坤飞建设（集团）有限公司_企业资质升级_20191010,重庆坤飞建设（集团）有限公司_专业承包城市及道路照明工程三级资质升级_20210610,"9559d60d-06c2-47b3-8451-177d479550a0","568070","1004204520","1004211214",人员资料审查,"2","1004204521",,,,"4002","10105565",,"5736763",usertask5,,,,"2021-06-24","1"
